Northern Ohio	Southern Ohio	Northern Indiana	Southern Indiana	West Michigan	East Michigan
OH-01 Cuyahoga/Cleveland (M2)	OH-03 Franklin Co. (M3)	IN-02 Fort Wayne (M2)	IN-01 Indianapolis (M3)	MI-09 Grand Rapids (M3)	MI-17 Washtenaw (M3)
OH-07 Akron (M2)	OH-05 Hamilton Co (Cincinnati) (M2)	IN-03 South Bend Area (M1)	IN-01N  Indianapolis North (M1)	MI-01 NE Michigan-Alpena Area (M1)	MI-06 Midland/Bay City/Saginaw (M1)
OH-09 Ashtabula/Trumbull (M0)	OH-06 Montgomery Co (Dayton) (M2)	IN-06 Gary (M1)	IN-01S Indianapolis South  (M1)	MI-02 Traverse City/Charlevoix Area (M1)	MI-07 Thumb Area Counties (M1)
OH-10 Lorain Co (Oberlin) (M1)	OH-18 Appalachia I (M1)	IN-08 Muncie (M1)	IN-04 W Lafayette (M2)	MI-03 Manistee/Newaygo Area (M1)	MI-08 Flint (M3)
OH-11 Portage Co (M1)	OH-19 Muskingum (M1)	IN-10 Kokomo (M0)	IN-05 Hollow Reed (Bloomington) (M2)	MI-04 Central Michigan Counties (M1)	MI-11 Lansing Area (M2)
OH-12 Geauga-Lake Co (M1)	OH-20 Athens (M1)	IN-11 Monon (M0)	IN-07 Evansville (M1)	MI-05 Tawas, Standish, West Branch Area (M0)	MI-14 Falling Waters (Jackson/Hillsdale/Branch) (M1)
OH-13 Medina-Wayne Co (M0)	OH-27 Wyandot (M2)		IN-09 Terre Haute (M1)	MI-12 St Joseph/Benton Harbor Area (M1)	MI-15 Adrian/Monroe (M1)
OH-14 Stark Co (M1)	OH-28 Morrow (M1)		IN-12 Vincennes. (M1)	MI-13 Kalamazoo Area (M2)	MI-16 Livingston County (Brighton) (M0)
OH-15 Mahoning (M0)	OH-29 Nur (Darke Co) (M2)		IN-13 Richmond (M1)	MI-31 Ionia Area (M0)	MI-19 Tri-County (M3)
OH-16 Holmes (M0)	OH-30 Greene Co (Yellow Springs) (M2)		IN-14 Cinci-Indiana (M0)	MIUP-01 Bessemer (M0)	OH-08 Lucas Co (M2)
OH-17 Carroll (M0)	OH-31 Fayette (M1)		IN-16 Jasper (M0)	MIUP-02 Houghton (M1)	OH-21 Williams (M0)
OH-22 Ottawa Co (M1)	OH-32 Butler (M1)		IN-17 Clark, Floyd, Harrison Co (M1)	MIUP-03 Escanaba (M0)	OH-23 Wood (M1)
OH-24 Crawford (M2)	OH-33 Warren (M1)			MIUP-04 Marquette (M2)	
OH-25 Van Wert (M0)	OH-34 Appalachia II (M1)			MIUP-05 Manistique (M0)	
OH-26 Allen (M0)	OH-35 Appalachia III (M2)			MIUP-06 Sault Ste Marie (M1)	
