State,Sub-Region,Cluster,County,Cluster Name,State FIPS,County FIPS,"County, ST", County Population , Housing Units , Area ,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,FIPS
Indiana,Indiana,IN-01N,Boone,Indy North,18,11,Boone County IN,"46,107","17,929",423,1,1,1,1,1,2,2,2,2,2,18-11
Indiana,Indiana,IN-01N,Hamilton,Indy North,18,57,Hamilton County IN,"182,740","69,478",398,1,1,1,1,1,2,2,2,2,2,18-57
Indiana,Indiana,IN-01S,Hancock,Indy South,18,59,Hancock County IN,"55,391","21,750",306,0,0,0,0,0,1,1,1,1,2,18-59
Indiana,Indiana,IN-01N,Hendricks,Indy North,18,63,Hendricks County IN,"104,093","39,229",408,1,1,1,1,1,2,2,2,2,2,18-63
Indiana,Indiana,IN-01S,Johnson,Indy South,18,81,Johnson County IN,"115,209","45,095",320,0,0,0,0,0,1,1,1,1,2,18-81
Indiana,Indiana,IN-01,Marion,Indianapolis,18,97,Marion County IN,"860,454","387,183",396,2,2,2,3,3,3,3,3,3,3,18-97
Indiana,Indiana,IN-01S,Morgan,Indy South,18,109,Morgan County IN,"66,689","25,908",406,0,0,0,0,0,1,1,1,1,2,18-109
Indiana,Indiana,IN-01S,Shelby,Indy South,18,145,Shelby County IN,"22,960","9,737",190,0,0,0,0,0,1,1,1,1,2,18-145
Indiana,Indiana,IN-01N,Tipton,Indy North,18,159,Tipton County IN,"16,577","6,848",260,1,1,1,1,1,2,2,2,2,2,18-159
Indiana,Indiana,IN-02,Adams,Fort Wayne,18,1,Adams County IN,"33,625","12,404",339,2,2,2,2,3,3,3,3,3,3,18-1
Indiana,Indiana,IN-02,Allen,Fort Wayne,18,3,Allen County IN,"331,849","138,905",657,2,2,2,2,3,3,3,3,3,3,18-3
Indiana,Indiana,IN-02,DeKalb,Fort Wayne,18,33,DeKalb County IN,"40,285","16,144",363,2,2,2,2,3,3,3,3,3,3,18-33
Indiana,Indiana,IN-02,Huntington,Fort Wayne,18,69,Huntington County IN,"38,075","15,269",383,2,2,2,2,3,3,3,3,3,3,18-69
Indiana,Indiana,IN-02,LaGrange,Fort Wayne,18,87,LaGrange County IN,"34,909","12,938",380,2,2,2,2,3,3,3,3,3,3,18-87
Indiana,Indiana,IN-02,Noble,Fort Wayne,18,113,Noble County IN,"46,275","18,233",411,2,2,2,2,3,3,3,3,3,3,18-113
Indiana,Indiana,IN-02,Steuben,Fort Wayne,18,151,Steuben County IN,"33,214","17,337",309,2,2,2,2,3,3,3,3,3,3,18-151
Indiana,Indiana,IN-02,Wells,Fort Wayne,18,179,Wells County IN,"27,600","10,970",370,2,2,2,2,3,3,3,3,3,3,18-179
Indiana,Indiana,IN-02,Whitley,Fort Wayne,18,183,Whitley County IN,"30,707","12,545",336,2,2,2,2,3,3,3,3,3,3,18-183
Indiana,Indiana,IN-03,Elkhart,South Bend Area,18,39,Elkhart County IN,"182,791","69,791",464,1,1,1,2,2,2,2,2,2,2,18-39
Indiana,Indiana,IN-03,Kosciusko,South Bend Area,18,85,Kosciusko County IN,"74,057","32,188",538,1,1,1,2,2,2,2,2,2,2,18-85
Indiana,Indiana,IN-03,Marshall,South Bend Area,18,99,Marshall County IN,"45,128","18,099",444,1,1,1,2,2,2,2,2,2,2,18-99
Indiana,Indiana,IN-03,St Joseph,South Bend Area,18,141,Spencer County IN,"20,391","8,333",399,1,1,1,2,2,2,2,2,2,2,18-141
Indiana,Indiana,IN-04,Benton,W Lafayette,18,7,Benton County IN,"9,421","3,818",406,1,2,2,2,2,2,3,3,3,3,18-7
Indiana,Indiana,IN-04,Carroll,W Lafayette,18,15,Carroll County IN,"20,165","8,675",372,1,2,2,2,2,2,3,3,3,3,18-15
Indiana,Indiana,IN-04,Clinton,W Lafayette,18,23,Clinton County IN,"33,866","13,267",405,1,2,2,2,2,2,3,3,3,3,18-23
Indiana,Indiana,IN-04,Fountain,W Lafayette,18,45,Fountain County IN,"17,954","7,692",396,1,2,2,2,2,2,3,3,3,3,18-45
Indiana,Indiana,IN-04,Montgomery,W Lafayette,18,107,Montgomery County IN,"37,629","15,678",505,1,2,2,2,2,2,3,3,3,3,18-107
Indiana,Indiana,IN-04,Tippecanoe,W Lafayette,18,157,Tippecanoe County IN,"148,955","58,343",500,1,2,2,2,2,2,3,3,3,3,18-157
Indiana,Indiana,IN-04,Warren,W Lafayette,18,171,Warren County IN,"8,419","3,477",365,1,2,2,2,2,2,3,3,3,3,18-171
Indiana,Indiana,IN-05,Bartholomew,Hollow Reed (Bloomington),18,5,Bartholomew County IN,"71,435","29,853",407,1,2,2,2,2,2,2,3,3,3,18-5
Indiana,Indiana,IN-05,Brown,Hollow Reed (Bloomington),18,13,Brown County IN,"14,957","7,163",312,1,2,2,2,2,2,2,3,3,3,18-13
Indiana,Indiana,IN-05,Decatur,Hollow Reed (Bloomington),18,31,Decatur County IN,"24,555","9,992",373,1,2,2,2,2,2,2,3,3,3,18-31
Indiana,Indiana,IN-05,Jackson,Hollow Reed (Bloomington),18,71,Jackson County IN,"41,335","17,137",509,1,2,2,2,2,2,2,3,3,3,18-71
Indiana,Indiana,IN-05,Jennings,Hollow Reed (Bloomington),18,79,Jennings County IN,"27,554","11,469",377,1,2,2,2,2,2,2,3,3,3,18-79
Indiana,Indiana,IN-05,Lawrence,Hollow Reed (Bloomington),18,93,Lawrence County IN,"45,922","20,560",449,1,2,2,2,2,2,2,3,3,3,18-93
Indiana,Indiana,IN-05,Martin,Hollow Reed (Bloomington),18,101,Martin County IN,"10,369","4,729",336,1,2,2,2,2,2,2,3,3,3,18-101
Indiana,Indiana,IN-05,Monroe,Hollow Reed (Bloomington),18,105,Monroe County IN,"120,563","50,846",394,1,2,2,2,2,2,2,3,3,3,18-105
Indiana,Indiana,IN-05,Owen,Hollow Reed (Bloomington),18,119,Owen County IN,"21,786","9,853",385,1,2,2,2,2,2,2,3,3,3,18-119
Indiana,Indiana,IN-06,Lake,Gary,18,89,Lake County IN,"484,564","194,992",497,1,1,1,1,2,2,2,2,2,2,18-89
Indiana,Indiana,IN-06,La Porte,Gary,18,91,LaPorte County IN,"110,106","45,621",598,1,1,1,1,2,2,2,2,2,2,18-91
Indiana,Indiana,IN-06,Porter,Gary,18,127,Porter County IN,"146,798","57,616",418,1,1,1,1,2,2,2,2,2,2,18-127
Indiana,Indiana,IN-07,Gibson,Evansville,18,51,Gibson County IN,"32,500","14,125",489,1,1,1,1,1,2,2,2,2,2,18-51
Indiana,Indiana,IN-07,Pike,Evansville,18,125,Pike County IN,"12,837","5,611",336,1,1,1,1,1,2,2,2,2,2,18-125
Indiana,Indiana,IN-07,Posey,Evansville,18,129,Posey County IN,"27,061","11,076",409,1,1,1,1,1,2,2,2,2,2,18-129
Indiana,Indiana,IN-07,Vanderburgh,Evansville,18,163,Vanderburgh County IN,"171,922","76,300",235,1,1,1,1,1,2,2,2,2,2,18-163
Indiana,Indiana,IN-07,Warrick,Evansville,18,173,Warrick County IN,"52,383","20,546",384,1,1,1,1,1,2,2,2,2,2,18-173
Indiana,Indiana,IN-08,Blackford,Muncie,18,9,Blackford County IN,"14,048","6,155",165,1,1,1,1,1,1,2,2,2,2,18-9
Indiana,Indiana,IN-08,Delaware,Muncie,18,35,Delaware County IN,"118,769","51,032",393,1,1,1,1,1,1,2,2,2,2,18-35
Indiana,Indiana,IN-08,Jay,Muncie,18,75,Jay County IN,"21,806","9,074",384,1,1,1,1,1,1,2,2,2,2,18-75
Indiana,Indiana,IN-08,Madison,Muncie,18,95,Madison County IN,"133,358","56,939",452,1,1,1,1,1,1,2,2,2,2,18-95
Indiana,Indiana,IN-08,Randolph,Muncie,18,135,Randolph County IN,"27,401","11,775",453,1,1,1,1,1,1,2,2,2,2,18-135
Indiana,Indiana,IN-09,Clay,Terre Haute,18,21,Clay County IN,"26,556","11,097",358,1,1,1,1,1,1,1,2,2,2,18-21
Indiana,Indiana,IN-09,Parke,Terre Haute,18,121,Parke County IN,"17,241","7,539",445,1,1,1,1,1,1,1,2,2,2,18-121
Indiana,Indiana,IN-09,Putnam,Terre Haute,18,133,Putnam County IN,"36,019","13,505",480,1,1,1,1,1,1,1,2,2,2,18-133
Indiana,Indiana,IN-09,Vermillion,Terre Haute,18,165,Vermillion County IN,"16,788","7,405",257,1,1,1,1,1,1,1,2,2,2,18-165
Indiana,Indiana,IN-09,Vigo,Terre Haute,18,167,Vigo County IN,"105,848","45,203",403,1,1,1,1,1,1,1,2,2,2,18-167
Indiana,Indiana,IN-10,Cass,Kokomo,18,17,Cass County IN,"40,930","16,620",413,0,0,1,1,1,1,1,1,1,2,18-17
Indiana,Indiana,IN-10,Fulton,Kokomo,18,49,Fulton County IN,"20,511","9,123",369,0,0,1,1,1,1,1,1,1,2,18-49
Indiana,Indiana,IN-10,Grant,Kokomo,18,53,Grant County IN,"73,403","30,560",414,0,0,1,1,1,1,1,1,1,2,18-53
Indiana,Indiana,IN-10,Howard,Kokomo,18,67,Howard County IN,"84,964","37,604",293,0,0,1,1,1,1,1,1,1,2,18-67
Indiana,Indiana,IN-10,Miami,Kokomo,18,103,Miami County IN,"36,082","15,299",376,0,0,1,1,1,1,1,1,1,2,18-103
Indiana,Indiana,IN-10,Wabash,Kokomo,18,169,Wabash County IN,"34,960","14,034",413,0,0,1,1,1,1,1,1,1,2,18-169
Indiana,Indiana,IN-11,Jasper,Monon,18,73,Jasper County IN,"30,043","11,236",560,0,0,0,0,0,0,0,1,1,1,18-73
Indiana,Indiana,IN-11,Newton,Monon,18,111,Newton County IN,"14,566","5,726",402,0,0,0,0,0,0,0,1,1,1,18-111
Indiana,Indiana,IN-11,Pulaski,Monon,18,131,Pulaski County IN,"13,755","5,918",434,0,0,0,0,0,0,0,1,1,1,18-131
Indiana,Indiana,IN-11,Starke,Monon,18,149,Starke County IN,"23,556","10,201",309,0,0,0,0,0,0,0,1,1,1,18-149
Indiana,Indiana,IN-11,White,Monon,18,181,White County IN,"25,267","12,083",505,0,0,0,0,0,0,0,1,1,1,18-181
Indiana,Indiana,IN-12,Daviess,Vincennes,18,27,Daviess County IN,"29,820","11,898",431,0,0,0,1,1,1,1,1,1,1,18-27
Indiana,Indiana,IN-12,Greene,Vincennes,18,55,Greene County IN,"33,157","15,053",542,0,0,0,1,1,1,1,1,1,1,18-55
Indiana,Indiana,IN-12,Knox,Vincennes,18,83,Knox County IN,"39,256","17,305",516,0,0,0,1,1,1,1,1,1,1,18-83
Indiana,Indiana,IN-12,Sullivan,Vincennes,18,153,Sullivan County IN,"21,751","8,804",447,0,0,0,1,1,1,1,1,1,1,18-153
Indiana,Indiana,IN-13,Fayette,Richmond,18,41,Fayette County IN,"25,588","10,981",215,1,1,1,2,2,2,2,2,2,2,18-41
Indiana,Indiana,IN-13,Franklin,Richmond,18,47,Franklin County IN,"22,151","8,596",386,1,1,1,2,2,2,2,2,2,2,18-47
Indiana,Indiana,IN-13,Henry,Richmond,18,65,Henry County IN,"48,508","20,592",393,1,1,1,2,2,2,2,2,2,2,18-65
Indiana,Indiana,IN-13,Rush,Richmond,18,139,Rush County IN,"18,261","7,337",408,1,1,1,2,2,2,2,2,2,2,18-139
Indiana,Indiana,IN-13,Union,Richmond,18,161,Union County IN,"7,349","3,077",162,1,1,1,2,2,2,2,2,2,2,18-161
Indiana,Indiana,IN-13,Wayne,Richmond,18,177,Wayne County IN,"71,097","30,468",404,1,1,1,2,2,2,2,2,2,2,18-177
Indiana,Indiana,IN-14,Dearborn,Cinci-Indiana,18,29,Dearborn County IN,"46,109","17,791",305,0,0,0,0,0,0,0,1,1,1,18-29
Indiana,Indiana,IN-14,Jefferson,Cinci-Indiana,18,77,Jefferson County IN,"31,705","13,386",361,0,0,0,0,0,0,0,1,1,1,18-77
Indiana,Indiana,IN-14,Ohio,Cinci-Indiana,18,115,Ohio County IN,"5,623","2,424",87,0,0,0,0,0,0,0,1,1,1,18-115
Indiana,Indiana,IN-14,Ripley,Cinci-Indiana,18,137,Ripley County IN,"26,523","10,482",446,0,0,0,0,0,0,0,1,1,1,18-137
Indiana,Indiana,IN-14,Scott,Cinci-Indiana,18,143,Scott County IN,"265,559","107,013",457,0,0,0,0,0,0,0,1,1,1,18-143
Indiana,Indiana,IN-14,Switzerland,Cinci-Indiana,18,155,Switzerland County IN,"9,065","4,226",221,0,0,0,0,0,0,0,1,1,1,18-155
Indiana,Indiana,IN-14,Washington,Cinci-Indiana,18,175,Washington County IN,"27,223","11,191",514,0,0,0,0,0,0,0,1,1,1,18-175
Indiana,Indiana,IN-16,Crawford,Jasper,18,25,Crawford County IN,"10,743","5,138",306,0,0,0,0,0,0,0,0,0,1,18-25
Indiana,Indiana,IN-16,Dubois,Jasper,18,37,Dubois County IN,"39,674","15,511",430,0,0,0,0,0,0,0,0,0,1,18-37
Indiana,Indiana,IN-16,Orange,Jasper,18,117,Orange County IN,"19,306","8,348",400,0,0,0,0,0,0,0,0,0,1,18-117
Indiana,Indiana,IN-16,Perry,Jasper,18,123,Perry County IN,"18,899","8,223",381,0,0,0,0,0,0,0,0,0,1,18-123
Indiana,Indiana,IN-16,Spencer,Jasper,18,147,Spencer County IN,"43,445","17,633",413,0,0,0,0,0,0,0,0,0,1,18-147
