Cluster	Group
OH-01	NOH
OH-07	NOH
OH-09	NOH
OH-10	NOH
OH-11	NOH
OH-12	NOH
OH-13	NOH
OH-14	NOH
OH-15	NOH
OH-16	NOH
OH-17	NOH
OH-22	NOH
OH-24	NOH
OH-25	NOH
OH-26	NOH
OH-03	SOH
OH-05	SOH
OH-06	SOH
OH-18	SOH
OH-19	SOH
OH-20	SOH
OH-27	SOH
OH-28	SOH
OH-29	SOH
OH-30	SOH
OH-31	SOH
OH-32	SOH
OH-33	SOH
OH-34	SOH
OH-35	SOH
IN-02	NIN
IN-03	NIN
IN-06	NIN
IN-08	NIN
IN-10	NIN
IN-11	NIN
IN-01	SIN
IN-01N	SIN
IN-01S	SIN
IN-04	SIN
IN-05	SIN
IN-07	SIN
IN-09	SIN
IN-12	SIN
IN-13	SIN
IN-14	SIN
IN-16	SIN
IN-17	SIN
MI-01	WMI
MI-02	WMI
MI-03	WMI
MI-04	WMI
MI-05	WMI
MI-09	WMI
MI-12	WMI
MI-13	WMI
MI-31	WMI
MIUP-01	WMI
MIUP-02	WMI
MIUP-03	WMI
MIUP-04	WMI
MIUP-05	WMI
MIUP-06	WMI
MI-06	EMI
MI-07	EMI
MI-08	EMI
MI-11	EMI
MI-14	EMI
MI-15	EMI
MI-16	EMI
MI-17	EMI
MI-19	EMI
OH-08	EMI
OH-21	EMI
OH-23	EMI
